Latitude,Longitude,Street Address,Price,Date Sold,Neighborhood,More Address,Beds,Baths,House Type,Size in Square Feet
41.89152,-87.61278,505 N Lake Shore Dr #D-26,60000.0,"Dec 19, 2014",Near North Side,"Chicago, IL 60611",,,Condo,
41.912846,-87.67968,1719 N Hoyne Ave,720000.0,"Dec 19, 2014",Wicker Park,"Chicago, IL 60647",,2.5,Multi-Family,2313.0
41.906925,-87.63233,1360 N Sandburg Ter #2002C,300000.0,"Dec 19, 2014",Near North Side,"Chicago, IL 60610",,,Condo,
41.93165,-87.641106,2726 N Pine Grove Ave #2726-2N,298000.0,"Dec 19, 2014",Lincoln Park,"Chicago, IL 60614",,,Condo,
41.958168,-87.64856,720 W Gordon Ter #17M,134000.0,"Dec 19, 2014",Uptown,"Chicago, IL 60613",,,Condo,
41.97147,-87.67734,4927 N Winchester Ave,575000.0,"Dec 19, 2014",Ravenswood,"Chicago, IL 60640",,2.5,Multi-Family,2090.0
41.976913,-87.83978,8511 W Catherine Ave #288,113000.0,"Dec 19, 2014",O'Hare,"Chicago, IL 60656",,,Condo,
41.95387,-87.74213,4008 N Kolmar Ave,625000.0,"Dec 19, 2014",Irving Park,"Chicago, IL 60641",3.0,2.5,Single-Family Home,2096.0
41.811398,-87.68975,4518 S Rockwell St,41000.0,"Dec 19, 2014",Brighton Park,"Chicago, IL 60632",4.0,2.0,Single-Family Home,2030.0
41.951923,-87.81201,7354 W Forest Preserve Ave,210000.0,"Dec 19, 2014",Dunning,"Chicago, IL 60634",3.0,1.0,Single-Family Home,1064.0
41.959938,-87.67343,1764 W Cullom Ave,696500.0,"Dec 19, 2014",Ravenswood,"Chicago, IL 60613",3.0,2.5,Single-Family Home,2076.0
41.912567,-87.72063,1724 N Ridgeway Ave,81000.0,"Dec 19, 2014",Humboldt Park,"Chicago, IL 60647",2.0,1.0,Single-Family Home,814.0
41.81786,-87.69657,4117 S Francisco Ave,150500.0,"Dec 19, 2014",Brighton Park,"Chicago, IL 60632",,2.0,Multi-Family,1866.0
41.98604,-87.6546,5701 N Sheridan Rd #17Q,136000.0,"Dec 19, 2014",Edgewater,"Chicago, IL 60660",,,Condo,
41.89196,-87.68135,2151 W Ohio St #2151-1,245000.0,"Dec 19, 2014",Ukranian Village,"Chicago, IL 60612",,,Condo,
41.9427,-87.65857,1157 W Roscoe St,425000.0,"Dec 22, 2014",,"Chicago, IL 60657",,,Condo,
41.80407,-87.585754,5000 S East End Ave #11B,20000.0,"Dec 22, 2014",Kenwood,"Chicago, IL 60615",,,Condo,
41.72416,-87.658226,9322 S Loomis St,192500.0,"Dec 22, 2014",Washington Heights / Brainerd,"Chicago, IL 60620",3.0,1.0,Single-Family Home,1092.0
