Latitude,Longitude,Street Address,Price,Date Sold,Neighborhood,More Address,Beds,Baths,House Type,Square Feet
41.969986,-87.77307,4915 N Menard Ave,310000.0,"Jan  7, 2015",Jefferson Park,"Chicago, IL 60630",,,Multi-Family,1824.0
41.892014,-87.6236,535 N Michigan Ave #503,171500.0,"Jan  7, 2015",Near North Side,"Chicago, IL 60611",,,Condo,
41.904797,-87.62909,1224 N State Pkwy #24D,375000.0,"Jan  7, 2015",Near North Side,"Chicago, IL 60610",,,Condo,
41.68426,-87.61831,160 E Kensington Ave,22500.0,"Jan  7, 2015",West Pullman,"Chicago, IL 60628",,,Multi-Family,3700.0
41.69291,-87.720055,11001 S Pulaski Rd,125000.0,"Jan  7, 2015",Mount Greenwood,"Chicago, IL 60655",2.0,,Single-Family Home,806.0
41.69746,-87.667694,10714 S Wood St,216000.0,"Jan  7, 2015",Morgan Park,"Chicago, IL 60643",3.0,,Single-Family Home,1662.0
41.933372,-87.774445,2911 N Mason Ave,300000.0,"Jan  7, 2015",Belmont Central,"Chicago, IL 60634",3.0,,Single-Family Home,1438.0
41.969276,-87.77225,5753 W Ainslie St,245000.0,"Jan  7, 2015",Jefferson Park,"Chicago, IL 60630",2.0,,Single-Family Home,1220.0
41.776115,-87.743774,6412 S La Crosse Ave,182500.0,"Jan  7, 2015",Clearing,"Chicago, IL 60638",3.0,,Single-Family Home,1058.0
41.842815,-87.719284,2653 S Hamlin Ave,48000.0,"Jan  7, 2015",Little Village,"Chicago, IL 60623",,,Multi-Family,1502.0
41.906925,-87.63233,1360 N Sandburg Ter #2808C,203000.0,"Jan  7, 2015",Near North Side,"Chicago, IL 60610",,,Condo,
41.894215,-87.684906,2310 W Huron St #3B,130000.0,"Jan  7, 2015",West Town,"Chicago, IL 60612",,,Condo,
42.018105,-87.686966,7514 N Bell Ave,72000.0,"Jan  7, 2015",West Rogers Park,"Chicago, IL 60645",2.0,,Townhouse,1152.0
41.900394,-87.67559,1027 N Winchester Ave #2,365000.0,"Jan  7, 2015",Wicker Park,"Chicago, IL 60622",,,Condo,
41.992783,-87.71929,6124 N Central Park Ave,340000.0,"Jan  7, 2015",North Park,"Chicago, IL 60659",4.0,,Single-Family Home,1851.0
